track_name,artist_name,album_name,album_type,release_year,explicit,played_at,duration_mins,song_genre
Beat It,Michael Jackson,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",album,1995,False,2026-05-07 18:02:03.693,4.3,Pop
Клетка,Molchat Doma,Этажи,album,2018,False,2026-05-07 17:58:03.430,4.72,Alternative
secret base ～君がくれたもの～,ZONE,E 〜Complete A side Singles〜,compilation,2005,False,2026-05-07 17:53:03.484,4.92,Anime
Obvious,Chris Brown,Obvious,single,2026,True,2026-05-07 17:47:26.035,3.1,R&B/Soul
Children - Dream Version,Robert Miles,Dreamland,album,1996,False,2026-05-07 17:40:16.012,7.1,Pop
Children - Dream Version,Robert Miles,Dreamland,album,1996,False,2026-05-07 15:43:35.278,7.1,Pop
Lady Of Namek,Tory Lanez,Alone At Prom,album,2021,True,2026-05-07 04:55:33.580,3.23,Jazz
Luv,Tory Lanez,Reggae Gold 2017,compilation,2017,True,2026-05-06 20:29:04.051,3.75,R&B/Soul
HEAVENLY JUMPSTYLE,TWXNY,HEAVENLY JUMPSTYLE,single,2025,False,2026-05-06 20:25:04.103,1.91,Baile Funk
HEAVENLY JUMPSTYLE - Ultra Slowed,TWXNY,HEAVENLY JUMPSTYLE (Versions),single,2025,False,2026-05-06 20:23:34.206,2.7,Baile Funk
Beat It,Michael Jackson,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",album,1995,False,2026-05-06 20:20:34.141,4.3,Pop
Клетка,Molchat Doma,Этажи,album,2018,False,2026-05-06 20:16:33.960,4.72,Alternative
NEVER REALLY MATTERED,Akon,NEVER REALLY MATTERED,single,2025,False,2026-05-06 20:07:05.319,3.33,R&B/Soul
Obvious,Chris Brown,Obvious,single,2026,True,2026-05-06 20:04:04.221,3.1,R&B/Soul
Free Bird,MOONLGHT,Free Bird,single,2024,True,2026-05-06 20:00:34.364,1.91,Electronic
Lost in the Fire (feat. The Weeknd),Gesaffelstein,Hyperion,album,2019,True,2026-05-06 19:58:43.790,3.37,Alternative
Mayonaka no Door~stay with me - Original club mix,Miki Matsubara,Pocket Park (Remastered),album,2009,False,2026-05-06 19:55:13.750,5.77,J-Pop
SWIM,BTS,ARIRANG,album,2026,False,2026-05-06 19:49:43.620,2.65,Pop
Say It,Tory Lanez,R&Bae,compilation,2017,True,2026-05-06 19:46:43.922,3.96,Hip-Hop/Rap
Lady Of Namek,Tory Lanez,Alone At Prom,album,2021,True,2026-05-06 19:42:43.696,3.23,Jazz
Luv,Tory Lanez,Reggae Gold 2017,compilation,2017,True,2026-05-06 19:39:43.710,3.75,R&B/Soul
HEAVENLY JUMPSTYLE,TWXNY,HEAVENLY JUMPSTYLE,single,2025,False,2026-05-06 19:35:43.755,1.91,Baile Funk
